dia,mes,año,Nivell absolut (msnm)_Siruana,Percentatge volum embassat (%)_Siruana,Volum embassat (hm3)_Siruana,Nivell absolut (msnm)_Baells,Percentatge volum embassat (%)_Baells,Volum embassat (hm3)_Baells,Nivell absolut (msnm)_Sant Ponç,Percentatge volum embassat (%)_Sant Ponç,Volum embassat (hm3)_Sant Ponç,Nivell absolut (msnm)_Foix,Percentatge volum embassat (%)_Foix,Volum embassat (hm3)_Foix,Nivell absolut (msnm)_Susqueda,Percentatge volum embassat (%)_Susqueda,Volum embassat (hm3)_Susqueda,Nivell absolut (msnm)_Riudecanyes,Percentatge volum embassat (%)_Riudecanyes,Volum embassat (hm3)_Riudecanyes,Nivell absolut (msnm)_Darnius Boadella,Percentatge volum embassat (%)_Darnius Boadella,Volum embassat (hm3)_Darnius Boadella,Nivell absolut (msnm)_Sau,Percentatge volum embassat (%)_Sau,Volum embassat (hm3)_Sau,Nivell absolut (msnm)_Llosa del Cavall,Percentatge volum embassat (%)_Llosa del Cavall,Volum embassat (hm3)_Llosa del Cavall,Percentatge_volum_embassat_cat,Valor_precipitació,Valor_temp_max,Valor_temp_min,PBEE_Hidroelectr,PBEE_Carbo,PBEE_GasNat,PBEE_Fuel-Oil,PBEE_CiclComb,PBEE_Nuclear
29,11,2023,454.9,3.9,0.48,594.38,23.2,25.35,512.63,27.4,6.67,97.34,54.0,2.02,297.76,18.4,42.88,195.57,3.7,0.2,134.11,14.0,8.55,386.29,13.8,22.74,767.33,18.4,14.75,19.644444444444446,62.0,9.85546875,9.248037130256593,,,,,,
28,11,2023,454.91,3.9,0.48,594.5,23.3,25.5,512.62,27.3,6.66,97.36,54.3,2.03,297.71,18.4,42.78,195.59,3.7,0.2,134.13,14.0,8.56,386.48,14.0,23.1,767.41,18.5,14.8,19.711111111111112,17.4,10.14635278571154,9.382796826503366,,,,,,
27,11,2023,454.93,3.9,0.48,594.61,23.4,25.64,512.61,27.3,6.66,97.38,54.5,2.04,297.67,18.3,42.71,195.59,3.7,0.2,134.15,14.1,8.59,386.67,14.2,23.48,767.48,18.6,14.86,19.77777777777778,34.0,8.73328208138826,8.00995119938567,,,,,,
26,11,2023,454.94,3.9,0.48,594.69,23.5,25.74,512.6,27.3,6.65,97.36,54.3,2.03,297.66,18.3,42.68,195.61,3.8,0.2,134.16,14.1,8.6,386.86,14.4,23.85,767.57,18.7,14.93,19.81111111111111,28.8,7.613473731884057,6.843557518115943,,,,,,
25,11,2023,454.96,3.9,0.48,594.77,23.6,25.84,512.59,27.3,6.64,97.31,53.7,2.01,297.6,18.3,42.59,195.62,3.8,0.2,134.19,14.1,8.63,387.05,14.7,24.23,767.64,18.7,14.98,19.788888888888888,31.1,9.090658967391304,8.261288496376812,,,,,,
24,11,2023,454.97,4.0,0.48,594.84,23.7,25.94,512.58,27.2,6.64,97.31,53.6,2.01,297.53,18.2,42.46,195.64,3.8,0.2,134.21,14.2,8.65,387.24,14.9,24.6,767.71,18.8,15.03,19.822222222222223,5.4,10.252684104498298,9.290819399897046,,,,,,
23,11,2023,454.99,4.0,0.49,594.92,23.8,26.04,512.57,27.2,6.63,97.3,53.6,2.0,297.56,18.2,42.52,195.65,3.8,0.2,134.24,14.2,8.67,387.42,15.1,24.97,767.79,18.9,15.09,19.866666666666664,3.6,8.337325311238912,7.304002067021044,,,,,,
22,11,2023,455.01,4.0,0.49,595.03,23.9,26.17,512.56,27.2,6.63,97.3,53.6,2.0,297.52,18.2,42.44,195.66,3.8,0.2,134.26,14.2,8.69,387.59,15.3,25.32,767.88,19.0,15.16,19.91111111111111,308.9,10.224568334144035,9.3605025833315,,,,,,
21,11,2023,455.02,4.0,0.49,595.15,24.1,26.33,512.55,27.2,6.62,97.31,53.7,2.01,297.45,18.2,42.32,195.68,3.8,0.2,134.29,14.3,8.72,387.77,15.5,25.67,767.97,19.0,15.23,19.977777777777778,516.9,10.890247690606296,10.160367063492064,,,,,,
20,11,2023,455.04,4.0,0.49,595.28,24.2,26.49,512.54,27.1,6.61,97.32,53.8,2.01,297.41,18.1,42.24,195.69,3.9,0.21,134.3,14.3,8.73,387.94,15.7,26.03,768.04,19.1,15.29,20.022222222222222,38.3,11.860083420960436,11.051398487736002,,,,,,
